TaskID GiftID GiftType TaskType	 RequestTime TaskArrival  TT	Responsible
----------------------------------------------------------------------------
1	 1	 1	 C	    0		 0	  1	 B		--NZ gift
2	 2	 1	 C	    1		 1	  1	 B
43	 19	 1	 D	    19		 18	  4	 S
46	 22	 1	 C	    21		 21	  1	 A
47	 11	 3	 C	    21		 10	  13	 B
48	 21	 1	 D	    21		 20	  3	 S
51	 23	 1	 C	    23		 23	  1	 B
49	 16	 2	 D	    22		 15	  9	 S
50	 22	 1	 D	    22		 21	  4	 S
36	 18	 4	 P	    17		 17	  8	 A
42	 20	 3	 A	    19		 19	  7	 B
52	 11	 3	 D	    23		 10	  16	 S
55	 25	 1	 C	    25		 25	  1	 A
57	 20	 3	 C	    26		 19	  8	 B
54	 23	 1	 D	    24		 23	  4	 S
58	 25	 1	 D	    26		 25	  3	 S
61	 28	 1	 C	    28		 28	  1	 B
60	 20	 3	 D	    27		 19	  10	 S
53	 24	 2	 P	    24		 24	  5	 A
64	 24	 2	 C	    29		 24	  6	 A
63	 28	 1	 D	    29		 28	  2	 S
62	 29	 3	 A	    29		 29	  2	 B
66	 24	 2	 D	    30		 24	  7	 S
68	 29	 3	 C	    31		 29	  3	 B
37	 18	 4	 Q	    17		 17	  15	 S
69	 32	 1	 C	    32		 32	  1	 B
65	 30	 2	 P	    30		 30	  3	 A		--NZ gift
70	 29	 3	 D	    32		 29	  4	 S
71	 18	 4	 C	    32		 17	  17	 B
74	 30	 2	 C	    33		 30	  4	 A		--NZ gift
73	 32	 1	 D	    33		 32	  2	 S
77	 30	 2	 D	    34		 30	  5	 S		--NZ gift
75	 34	 3	 A	    34		 34	  2	 B
76	 18	 4	 D	    34		 17	  19	 S
79	 34	 3	 C	    36		 34	  3	 B
56	 26	 2	 P	    26		 26	  11	 A
80	 36	 1	 C	    37		 37	  1	 A
81	 26	 2	 C	    37		 26	  12	 B
82	 34	 3	 D	    37		 34	  4	 S
83	 37	 1	 C	    38		 38	  1	 A
84	 36	 1	 D	    38		 37	  2	 S
85	 26	 2	 D	    38		 26	  14	 S
86	 38	 3	 A	    39		 39	  2	 B
87	 37	 1	 D	    39		 38	  3	 S
59	 27	 2	 P	    27		 27	  15	 A
90	 38	 3	 C	    41		 39	  3	 B
91	 41	 1	 C	    42		 42	  1	 B
93	 27	 2	 C	    42		 27	  16	 A
92	 38	 3	 D	    42		 39	  4	 S
95	 41	 1	 D	    43		 42	  2	 S
88	 39	 3	 A	    40		 40	  5	 B
96	 27	 2	 D	    43		 27	  18	 S
67	 31	 2	 P	    31		 31	  15	 A
97	 43	 1	 C	    44		 44	  2	 B
99	 39	 3	 C	    45		 40	  7	 B
102	 31	 2	 C	    46		 31	  16	 A
101	 43	 1	 D	    46		 44	  3	 S
104	 39	 3	 D	    47		 40	  8	 S
89	 40	 3	 A	    41		 41	  7	 B
105	 31	 2	 D	    47		 31	  18	 S
72	 33	 2	 P	    33		 33	  17	 A
107	 40	 3	 C	    49		 41	  9	 B
111	 33	 2	 C	    50		 33	  18	 A
110	 40	 3	 D	    50		 41	  10	 S
98	 44	 3	 A	    45		 45	  6	 B
114	 33	 2	 D	    51		 33	  19	 S
115	 44	 3	 C	    52		 45	  7	 B
113	 50	 5	 Q	    51		 51	  2	 S
78	 35	 2	 P	    35		 35	  19	 A
116	 51	 1	 C	    52		 52	  2	 B
117	 44	 3	 D	    53		 45	  9	 S
118	 35	 2	 C	    54		 35	  20	 A
119	 51	 1	 D	    54		 52	  3	 S
103	 46	 3	 A	    47		 47	  8	 B
121	 35	 2	 D	    55		 35	  21	 S
122	 53	 1	 C	    55		 55	  1	 B
94	 42	 2	 P	    43		 43	  15	 A
123	 46	 3	 C	    56		 47	  11	 B
125	 53	 1	 D	    57		 55	  3	 S
124	 54	 1	 C	    56		 56	  3	 A
126	 42	 2	 C	    58		 43	  16	 B
128	 46	 3	 D	    58		 47	  12	 S
129	 54	 1	 D	    59		 56	  4	 S
106	 47	 3	 A	    48		 48	  13	 B
131	 42	 2	 D	    59		 43	  18	 S
100	 45	 2	 P	    46		 46	  16	 A
132	 57	 3	 A	    60		 60	  2	 B		--NZ gift
134	 47	 3	 C	    61		 48	  15	 A
136	 45	 2	 C	    62		 46	  18	 A
140	 57	 3	 C	    63		 60	  4	 B		--NZ gift
139	 47	 3	 D	    63		 48	  16	 S
141	 61	 1	 C	    64		 64	  1	 A
143	 57	 3	 D	    64		 60	  5	 S		--NZ gift
109	 49	 3	 A	    50		 50	  15	 B
144	 62	 1	 C	    65		 65	  1	 A
142	 45	 2	 D	    64		 46	  20	 S
146	 49	 3	 C	    66		 50	  17	 B
145	 61	 1	 D	    65		 64	  3	 S
149	 64	 1	 C	    67		 67	  1	 B
148	 62	 1	 D	    66		 65	  3	 S
108	 48	 2	 P	    49		 49	  20	 A
150	 49	 3	 D	    67		 50	  19	 S
112	 50	 5	 A	    51		 51	  18	 B
153	 48	 2	 C	    69		 49	  21	 A
152	 64	 1	 D	    68		 67	  3	 S
155	 50	 5	 C	    70		 51	  20	 A
154	 66	 1	 C	    69		 69	  2	 B
156	 48	 2	 D	    70		 49	  22	 S
157	 67	 1	 C	    70		 70	  2	 A
158	 50	 5	 D	    71		 51	  21	 S
127	 55	 3	 A	    58		 58	  14	 B
159	 66	 1	 D	    71		 69	  4	 S
162	 69	 1	 C	    72		 72	  1	 B
161	 67	 1	 D	    72		 70	  4	 S
120	 52	 2	 P	    54		 54	  21	 A
163	 55	 3	 C	    73		 58	  17	 B
165	 69	 1	 D	    74		 72	  3	 S
164	 70	 1	 C	    73		 73	  3	 A
167	 52	 2	 C	    75		 54	  22	 B
168	 55	 3	 D	    75		 58	  18	 S
170	 70	 1	 D	    76		 73	  4	 S
147	 63	 3	 A	    66		 66	  11	 B
171	 52	 2	 D	    76		 54	  24	 S
130	 56	 2	 P	    59		 59	  20	 A
172	 73	 1	 C	    76		 76	  3	 B
138	 60	 4	 Q	    63		 63	  16	 S
173	 74	 1	 C	    77		 77	  3	 A
174	 63	 3	 C	    78		 66	  14	 B
177	 73	 1	 D	    79		 76	  4	 S
175	 75	 1	 C	    78		 78	  3	 A
176	 56	 2	 C	    79		 59	  22	 B
179	 74	 1	 D	    80		 77	  4	 S
178	 76	 1	 C	    79		 79	  3	 A
180	 63	 3	 D	    80		 66	  16	 S
183	 77	 1	 C	    81		 81	  2	 A
151	 65	 3	 A	    68		 68	  15	 B
181	 75	 1	 D	    81		 78	  5	 S
186	 65	 3	 C	    83		 68	  15	 B
182	 56	 2	 D	    81		 59	  25	 S
184	 76	 1	 D	    82		 79	  6	 S
133	 58	 2	 P	    61		 61	  25	 A
160	 68	 3	 A	    71		 71	  15	 B
185	 77	 1	 D	    83		 81	  5	 S
189	 79	 1	 C	    84		 84	  3	 A
191	 58	 2	 C	    86		 61	  26	 B
188	 65	 3	 D	    84		 68	  19	 S
192	 68	 3	 C	    86		 71	  17	 A
194	 79	 1	 D	    87		 84	  4	 S
166	 71	 3	 A	    74		 74	  14	 B
195	 58	 2	 D	    87		 61	  28	 S
199	 71	 3	 C	    89		 74	  15	 B
197	 68	 3	 D	    88		 71	  19	 S
135	 59	 2	 P	    62		 62	  29	 A
201	 71	 3	 D	    90		 74	  17	 S
202	 85	 1	 C	    90		 90	  2	 A		--NZ gift
169	 72	 3	 A	    75		 75	  17	 B
203	 59	 2	 C	    91		 62	  31	 B
204	 86	 1	 C	    91		 91	  2	 A
207	 85	 1	 D	    92		 90	  3	 S		--NZ gift
206	 72	 3	 C	    92		 75	  19	 A
205	 87	 1	 C	    92		 92	  2	 B
209	 59	 2	 D	    93		 62	  32	 S
208	 88	 1	 C	    93		 93	  2	 A
210	 86	 1	 D	    93		 91	  4	 S
190	 80	 3	 A	    85		 85	  10	 B
211	 72	 3	 D	    94		 75	  21	 S
216	 80	 3	 C	    96		 85	  11	 B
213	 87	 1	 D	    94		 92	  5	 S
137	 60	 4	 P	    63		 63	  35	 A
217	 91	 1	 C	    96		 96	  2	 B
215	 88	 1	 D	    95		 93	  5	 S
220	 60	 4	 C	    98		 63	  36	 A
218	 80	 3	 D	    97		 85	  14	 S
193	 81	 3	 A	    86		 86	  13	 B
222	 93	 1	 C	    98		 98	  2	 A
221	 91	 1	 D	    98		 96	  4	 S
225	 81	 3	 C	    100		 86	  15	 A
224	 94	 1	 C	    99		 99	  2	 B
223	 60	 4	 D	    99		 63	  38	 S
226	 93	 1	 D	    100		 98	  4	 S
198	 83	 3	 A	    88		 88	  15	 B
229	 81	 3	 D	    101		 86	  17	 S
187	 78	 2	 P	    83		 83	  21	 A
232	 97	 1	 C	    102		 102	  2	 B
230	 94	 1	 D	    101		 99	  5	 S
233	 98	 1	 C	    103		 103	  2	 A
234	 83	 3	 C	    103		 88	  17	 B
237	 97	 1	 D	    104		 102	  3	 S
235	 78	 2	 C	    104		 83	  23	 A
238	 98	 1	 D	    105		 103	  3	 S
200	 84	 3	 A	    89		 89	  17	 B
240	 83	 3	 D	    105		 88	  19	 S
242	 84	 3	 C	    107		 89	  18	 B
241	 78	 2	 D	    106		 83	  25	 S
243	 101	 1	 C	    107		 107	  1	 B
196	 82	 2	 P	    87		 87	  22	 A
244	 84	 3	 D	    108		 89	  20	 S
247	 82	 2	 C	    109		 87	  23	 A
245	 102	 1	 C	    108		 108	  2	 B
246	 101	 1	 D	    109		 107	  3	 S
249	 82	 2	 D	    110		 87	  24	 S
214	 90	 3	 A	    95		 95	  16	 B
250	 102	 1	 D	    110		 108	  4	 S
212	 89	 2	 P	    94		 94	  19	 A
251	 104	 1	 C	    110		 110	  3	 B
228	 95	 4	 Q	    100		 100	  13	 S
252	 105	 1	 C	    111		 111	  3	 A
253	 90	 3	 C	    112		 95	  19	 B
255	 104	 1	 D	    113		 110	  4	 S
254	 89	 2	 C	    113		 94	  21	 A
257	 105	 1	 D	    114		 111	  4	 S
236	 99	 3	 A	    104		 104	  11	 B
258	 90	 3	 D	    114		 95	  21	 S
261	 108	 1	 C	    115		 115	  1	 B
260	 89	 2	 D	    115		 94	  23	 S
219	 92	 2	 P	    97		 97	  21	 A
262	 99	 3	 C	    116		 104	  14	 B
264	 108	 1	 D	    117		 115	  3	 S
263	 109	 1	 C	    116		 116	  3	 A
265	 110	 1	 C	    117		 117	  2	 B
267	 99	 3	 D	    118		 104	  15	 S
266	 92	 2	 C	    118		 97	  23	 A
