TaskID GiftID GiftType TaskType	 RequestTime TaskArrival  TT	Responsible
----------------------------------------------------------------------------
1	 1	 1	 C	    0		 0	  1	 B		--NZ gift
2	 2	 1	 C	    1		 1	  1	 A
120	 54	 5	 A	    54		 54	  7	 B
133	 35	 2	 D	    59		 35	  26	 S
78	 36	 2	 P	    36		 36	  26	 A
135	 57	 1	 D	    59		 57	  5	 S
136	 60	 1	 C	    60		 60	  3	 A
137	 61	 3	 A	    61		 61	  2	 B		--NZ gift
131	 58	 4	 Q	    58		 58	  5	 S
138	 54	 5	 C	    61		 54	  10	 A
143	 61	 3	 C	    63		 61	  3	 B		--NZ gift
141	 60	 1	 D	    63		 60	  4	 S
139	 36	 2	 C	    62		 36	  29	 A
142	 63	 1	 C	    63		 63	  2	 B
146	 61	 3	 D	    64		 61	  4	 S		--NZ gift
148	 65	 1	 C	    65		 65	  1	 B
144	 54	 5	 D	    64		 54	  12	 S
150	 66	 1	 C	    66		 66	  1	 B
147	 36	 2	 D	    65		 36	  31	 S
90	 41	 2	 P	    41		 41	  27	 A
149	 63	 1	 D	    65		 63	  5	 S
154	 41	 2	 C	    68		 41	  28	 A
145	 64	 3	 A	    64		 64	  5	 B
151	 65	 1	 D	    66		 65	  4	 S
155	 68	 1	 C	    68		 68	  2	 A
158	 64	 3	 C	    69		 64	  6	 B
153	 66	 1	 D	    67		 66	  4	 S
160	 70	 1	 C	    70		 70	  1	 B
156	 41	 2	 D	    69		 41	  30	 S
162	 71	 1	 C	    71		 71	  1	 B
159	 68	 1	 D	    70		 68	  4	 S
96	 44	 2	 P	    44		 44	  29	 A
161	 64	 3	 D	    70		 64	  9	 S
166	 44	 2	 C	    73		 44	  30	 A
152	 67	 3	 A	    67		 67	  7	 B
163	 70	 1	 D	    71		 70	  4	 S
167	 73	 1	 C	    73		 73	  2	 A
169	 74	 1	 C	    74		 74	  1	 B
165	 71	 1	 D	    72		 71	  4	 S
170	 67	 3	 C	    74		 67	  9	 A
168	 44	 2	 D	    74		 44	  32	 S
157	 69	 3	 A	    69		 69	  8	 B
171	 73	 1	 D	    75		 73	  4	 S
176	 77	 1	 C	    77		 77	  1	 B
173	 74	 1	 D	    75		 74	  4	 S
105	 48	 2	 P	    48		 48	  31	 A
177	 69	 3	 C	    77		 69	  10	 B
174	 67	 3	 D	    76		 67	  12	 S
178	 78	 1	 C	    78		 78	  2	 A
180	 48	 2	 C	    79		 48	  32	 B
179	 77	 1	 D	    78		 77	  3	 S
181	 79	 1	 C	    79		 79	  2	 A
184	 80	 1	 C	    80		 80	  1	 B
182	 69	 3	 D	    79		 69	  12	 S
183	 78	 1	 D	    80		 78	  4	 S
164	 72	 3	 A	    72		 72	  11	 B
185	 48	 2	 D	    80		 48	  35	 S
108	 49	 2	 P	    49		 49	  35	 A
190	 82	 1	 C	    82		 82	  2	 B
186	 79	 1	 D	    81		 79	  5	 S
193	 72	 3	 C	    83		 72	  13	 A
194	 49	 2	 C	    84		 49	  36	 B
189	 80	 1	 D	    81		 80	  5	 S
198	 85	 1	 C	    85		 85	  1	 B
196	 82	 1	 D	    84		 82	  4	 S
197	 72	 3	 D	    85		 72	  15	 S
111	 50	 2	 P	    50		 50	  38	 A
175	 76	 3	 A	    76		 76	  12	 B
199	 49	 2	 D	    85		 49	  39	 S
203	 50	 2	 C	    88		 50	  39	 A
204	 76	 3	 C	    88		 76	  13	 B
201	 85	 1	 D	    86		 85	  4	 S
206	 50	 2	 D	    89		 50	  40	 S
187	 81	 5	 A	    81		 81	  9	 B
207	 76	 3	 D	    89		 76	  15	 S
113	 51	 2	 P	    51		 51	  41	 A
210	 91	 1	 C	    91		 91	  1	 B		--NZ gift
188	 81	 5	 Q	    81		 81	  11	 S
211	 51	 2	 C	    92		 51	  42	 A
212	 92	 1	 C	    92		 92	  1	 B
213	 91	 1	 D	    92		 91	  2	 S		--NZ gift
214	 81	 5	 C	    92		 81	  13	 A
216	 93	 1	 C	    93		 93	  1	 B
215	 51	 2	 D	    93		 51	  43	 S
219	 94	 1	 C	    94		 94	  1	 B
217	 92	 1	 D	    93		 92	  3	 S
218	 81	 5	 D	    94		 81	  15	 S
130	 58	 4	 P	    58		 58	  39	 A
220	 93	 1	 D	    94		 93	  4	 S
224	 58	 4	 C	    97		 58	  40	 A
223	 96	 3	 A	    96		 96	  2	 B
222	 94	 1	 D	    95		 94	  4	 S
225	 97	 1	 C	    97		 97	  2	 A
227	 96	 3	 C	    98		 96	  3	 B
226	 58	 4	 D	    98		 58	  41	 S
231	 99	 1	 C	    99		 99	  1	 B
229	 97	 1	 D	    99		 97	  3	 S
232	 100	 1	 C	    100		 100	  1	 B
230	 96	 3	 D	    99		 96	  5	 S
134	 59	 2	 P	    59		 59	  43	 A
233	 99	 1	 D	    100		 99	  3	 S
236	 59	 2	 C	    102		 59	  44	 A
234	 101	 3	 A	    101		 101	  2	 B
235	 100	 1	 D	    101		 100	  3	 S
237	 102	 1	 C	    102		 102	  2	 A
239	 103	 1	 C	    103		 103	  1	 B
238	 59	 2	 D	    103		 59	  45	 S
240	 101	 3	 C	    103		 101	  4	 A
242	 104	 1	 C	    104		 104	  1	 B
241	 102	 1	 D	    104		 102	  3	 S
243	 103	 1	 D	    104		 103	  3	 S
245	 105	 3	 A	    105		 105	  2	 B
244	 101	 3	 D	    105		 101	  6	 S
140	 62	 2	 P	    62		 62	  46	 A
250	 105	 3	 C	    107		 105	  3	 B
246	 104	 1	 D	    105		 104	  4	 S
251	 62	 2	 C	    108		 62	  47	 A
252	 108	 1	 C	    108		 108	  1	 B
253	 105	 3	 D	    108		 105	  4	 S
255	 109	 1	 C	    109		 109	  1	 B
254	 62	 2	 D	    109		 62	  48	 S
256	 108	 1	 D	    109		 108	  3	 S
172	 75	 2	 P	    75		 75	  37	 A
247	 106	 3	 A	    106		 106	  6	 B
258	 109	 1	 D	    110		 109	  3	 S
259	 111	 1	 C	    111		 111	  2	 A
260	 75	 2	 C	    112		 75	  38	 B
192	 83	 4	 Q	    83		 83	  30	 S
261	 112	 1	 C	    112		 112	  2	 A
262	 106	 3	 C	    112		 106	  8	 B
263	 111	 1	 D	    113		 111	  3	 S
268	 114	 1	 C	    114		 114	  1	 B
266	 75	 2	 D	    113		 75	  40	 S
267	 112	 1	 D	    114		 112	  4	 S
191	 83	 4	 P	    83		 83	  34	 A
264	 113	 5	 A	    113		 113	  4	 B
269	 106	 3	 D	    114		 106	  11	 S
272	 116	 1	 C	    116		 116	  2	 A
273	 83	 4	 C	    117		 83	  35	 B
271	 114	 1	 D	    115		 114	  4	 S
274	 117	 1	 C	    117		 117	  2	 A
277	 118	 1	 C	    118		 118	  1	 B
275	 116	 1	 D	    118		 116	  3	 S
276	 83	 4	 D	    118		 83	  37	 S
